,Fecha,Hora,AE_kWh
476,20/07/2020,21,0.301
477,20/07/2020,22,0.321
478,20/07/2020,23,0.367
479,20/07/2020,24,0.235
480,21/07/2020,1,0.224
481,21/07/2020,2,0.212
482,21/07/2020,3,0.219
483,21/07/2020,4,0.21
484,21/07/2020,5,0.208
485,21/07/2020,6,0.217
486,21/07/2020,7,0.346
487,21/07/2020,8,0.252
488,21/07/2020,9,0.216
489,21/07/2020,10,0.203
490,21/07/2020,11,0.218
491,21/07/2020,12,0.195
492,21/07/2020,13,0.218
493,21/07/2020,14,0.307
494,21/07/2020,15,0.198
495,21/07/2020,16,0.246
496,21/07/2020,17,0.355
497,21/07/2020,18,0.198
498,21/07/2020,19,0.202
499,21/07/2020,20,0.199
500,21/07/2020,21,0.202
501,21/07/2020,22,0.213
502,21/07/2020,23,0.321
503,21/07/2020,24,0.226
504,22/07/2020,1,0.21
505,22/07/2020,2,0.214
506,22/07/2020,3,0.205
507,22/07/2020,4,0.205
508,22/07/2020,5,0.213
509,22/07/2020,6,0.204
510,22/07/2020,7,0.204
511,22/07/2020,8,0.334
512,22/07/2020,9,0.301
513,22/07/2020,10,0.345
514,22/07/2020,11,0.284
515,22/07/2020,12,0.269
516,22/07/2020,13,0.321
517,22/07/2020,14,0.321
518,22/07/2020,15,0.204
519,22/07/2020,16,0.319
520,22/07/2020,17,0.41
521,22/07/2020,18,0.366
522,22/07/2020,19,0.206
523,22/07/2020,20,0.201
524,22/07/2020,21,0.308
525,22/07/2020,22,0.901
526,22/07/2020,23,0.313
527,22/07/2020,24,0.449
528,23/07/2020,1,0.273
529,23/07/2020,2,0.217
530,23/07/2020,3,0.215
531,23/07/2020,4,0.211
532,23/07/2020,5,0.211
533,23/07/2020,6,0.211
534,23/07/2020,7,0.3
535,23/07/2020,8,0.276
536,23/07/2020,9,0.288
537,23/07/2020,10,0.328
538,23/07/2020,11,0.347
539,23/07/2020,12,0.271
540,23/07/2020,13,0.289
541,23/07/2020,14,0.25
542,23/07/2020,15,0.336
543,23/07/2020,16,0.305
544,23/07/2020,17,0.263
545,23/07/2020,18,0.257
546,23/07/2020,19,0.222
547,23/07/2020,20,0.215
548,23/07/2020,21,0.204
549,23/07/2020,22,0.211
550,23/07/2020,23,0.205
551,23/07/2020,24,0.311
552,24/07/2020,1,0.229
553,24/07/2020,2,0.208
554,24/07/2020,3,0.204
555,24/07/2020,4,0.213
556,24/07/2020,5,0.256
557,24/07/2020,6,0.223
558,24/07/2020,7,0.29
559,24/07/2020,8,0.242
560,24/07/2020,9,0.236
561,24/07/2020,10,0.198
562,24/07/2020,11,0.258
563,24/07/2020,12,0.207
564,24/07/2020,13,0.294
565,24/07/2020,14,0.303
566,24/07/2020,15,0.305
567,24/07/2020,16,0.277
568,24/07/2020,17,0.195
569,24/07/2020,18,0.197
570,24/07/2020,19,0.204
571,24/07/2020,20,0.195
572,24/07/2020,21,0.25
573,24/07/2020,22,0.274
574,24/07/2020,23,0.286
575,24/07/2020,24,0.295
576,25/07/2020,1,0.268
577,25/07/2020,2,0.229
578,25/07/2020,3,0.221
579,25/07/2020,4,0.217
580,25/07/2020,5,0.217
581,25/07/2020,6,0.215
582,25/07/2020,7,0.223
583,25/07/2020,8,0.247
584,25/07/2020,9,0.208
585,25/07/2020,10,0.205
586,25/07/2020,11,0.211
587,25/07/2020,12,0.538
588,25/07/2020,13,1.79
589,25/07/2020,14,1.01
590,25/07/2020,15,0.789
591,25/07/2020,16,1.195
592,25/07/2020,17,0.987
593,25/07/2020,18,0.703
594,25/07/2020,19,0.221
595,25/07/2020,20,0.208
596,25/07/2020,21,0.196
597,25/07/2020,22,0.214
598,25/07/2020,23,0.25
599,25/07/2020,24,0.207
600,26/07/2020,1,0.21
601,26/07/2020,2,0.204
602,26/07/2020,3,0.205
603,26/07/2020,4,0.246
604,26/07/2020,5,0.247
605,26/07/2020,6,0.224
606,26/07/2020,7,0.208
607,26/07/2020,8,0.207
608,26/07/2020,9,0.198
609,26/07/2020,10,0.287
610,26/07/2020,11,0.303
611,26/07/2020,12,0.395
612,26/07/2020,13,0.258
613,26/07/2020,14,0.343
614,26/07/2020,15,0.905
615,26/07/2020,16,0.299
616,26/07/2020,17,0.319
617,26/07/2020,18,0.212
618,26/07/2020,19,0.247
619,26/07/2020,20,0.206
620,26/07/2020,21,0.195
621,26/07/2020,22,0.201
622,26/07/2020,23,0.281
623,26/07/2020,24,0.295
624,27/07/2020,1,0.212
625,27/07/2020,2,0.201
626,27/07/2020,3,0.201
627,27/07/2020,4,0.2
628,27/07/2020,5,0.199
629,27/07/2020,6,0.214
630,27/07/2020,7,0.327
631,27/07/2020,8,0.222
632,27/07/2020,9,0.199
633,27/07/2020,10,0.192
634,27/07/2020,11,0.2
635,27/07/2020,12,0.192
636,27/07/2020,13,0.191
637,27/07/2020,14,0.19
638,27/07/2020,15,0.195
639,27/07/2020,16,0.199
640,27/07/2020,17,0.192
641,27/07/2020,18,0.191
642,27/07/2020,19,0.192
643,27/07/2020,20,0.199
644,27/07/2020,21,0.201
645,27/07/2020,22,0.289
646,27/07/2020,23,0.28
647,27/07/2020,24,0.512
648,28/07/2020,1,0.638
649,28/07/2020,2,0.235
650,28/07/2020,3,0.206
651,28/07/2020,4,0.208
652,28/07/2020,5,0.195
653,28/07/2020,6,0.196
654,28/07/2020,7,0.202
655,28/07/2020,8,0.281
656,28/07/2020,9,0.193
657,28/07/2020,10,0.2
658,28/07/2020,11,0.189
659,28/07/2020,12,0.189
660,28/07/2020,13,0.218
661,28/07/2020,14,0.821
662,28/07/2020,15,1.04
663,28/07/2020,16,0.383
664,28/07/2020,17,0.269
665,28/07/2020,18,0.305
666,28/07/2020,19,0.39
667,28/07/2020,20,0.308
668,28/07/2020,21,0.339
669,28/07/2020,22,0.28
670,28/07/2020,23,0.265
671,28/07/2020,24,0.252
672,29/07/2020,1,0.217
673,29/07/2020,2,0.211
674,29/07/2020,3,0.258
