CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031607230862002QQ0F;09/07/2020;1;0,213;;;R
ES0031607230862002QQ0F;09/07/2020;2;0,267;;;R
ES0031607230862002QQ0F;09/07/2020;3;0,227;;;R
ES0031607230862002QQ0F;09/07/2020;4;0,21;;;R
ES0031607230862002QQ0F;09/07/2020;5;0,209;;;R
ES0031607230862002QQ0F;09/07/2020;6;0,209;;;R
ES0031607230862002QQ0F;09/07/2020;7;0,212;;;R
ES0031607230862002QQ0F;09/07/2020;8;0,272;;;R
ES0031607230862002QQ0F;09/07/2020;9;0,199;;;R
ES0031607230862002QQ0F;09/07/2020;10;0,198;;;R
ES0031607230862002QQ0F;09/07/2020;11;0,34;;;R
ES0031607230862002QQ0F;09/07/2020;12;0,798;;;R
ES0031607230862002QQ0F;09/07/2020;13;0,252;;;R
ES0031607230862002QQ0F;09/07/2020;14;0,679;;;R
ES0031607230862002QQ0F;09/07/2020;15;0,417;;;R
ES0031607230862002QQ0F;09/07/2020;16;0,308;;;R
ES0031607230862002QQ0F;09/07/2020;17;0,443;;;R
ES0031607230862002QQ0F;09/07/2020;18;0,837;;;R
ES0031607230862002QQ0F;09/07/2020;19;0,648;;;R
ES0031607230862002QQ0F;09/07/2020;20;0,456;;;R
ES0031607230862002QQ0F;09/07/2020;21;0,208;;;R
ES0031607230862002QQ0F;09/07/2020;22;0,271;;;R
ES0031607230862002QQ0F;09/07/2020;23;0,361;;;R
ES0031607230862002QQ0F;09/07/2020;24;0,314;;;R
ES0031607230862002QQ0F;10/07/2020;1;0,229;;;R
ES0031607230862002QQ0F;10/07/2020;2;0,223;;;R
ES0031607230862002QQ0F;10/07/2020;3;0,213;;;R
ES0031607230862002QQ0F;10/07/2020;4;0,219;;;R
ES0031607230862002QQ0F;10/07/2020;5;0,213;;;R
ES0031607230862002QQ0F;10/07/2020;6;0,217;;;R
ES0031607230862002QQ0F;10/07/2020;7;0,414;;;R
ES0031607230862002QQ0F;10/07/2020;8;0,243;;;R
ES0031607230862002QQ0F;10/07/2020;9;0,207;;;R
ES0031607230862002QQ0F;10/07/2020;10;0,2;;;R
ES0031607230862002QQ0F;10/07/2020;11;0,203;;;R
ES0031607230862002QQ0F;10/07/2020;12;0,204;;;R
ES0031607230862002QQ0F;10/07/2020;13;0,199;;;R
ES0031607230862002QQ0F;10/07/2020;14;0,204;;;R
ES0031607230862002QQ0F;10/07/2020;15;0,204;;;R
ES0031607230862002QQ0F;10/07/2020;16;0,303;;;R
ES0031607230862002QQ0F;10/07/2020;17;0,298;;;R
ES0031607230862002QQ0F;10/07/2020;18;0,253;;;R
ES0031607230862002QQ0F;10/07/2020;19;0,191;;;R
ES0031607230862002QQ0F;10/07/2020;20;0,198;;;R
ES0031607230862002QQ0F;10/07/2020;21;0,196;;;R
ES0031607230862002QQ0F;10/07/2020;22;0,298;;;R
ES0031607230862002QQ0F;10/07/2020;23;0,394;;;R
ES0031607230862002QQ0F;10/07/2020;24;0,346;;;R
ES0031607230862002QQ0F;11/07/2020;1;0,251;;;R
ES0031607230862002QQ0F;11/07/2020;2;0,2;;;R
ES0031607230862002QQ0F;11/07/2020;3;0,2;;;R
ES0031607230862002QQ0F;11/07/2020;4;0,204;;;R
ES0031607230862002QQ0F;11/07/2020;5;0,197;;;R
ES0031607230862002QQ0F;11/07/2020;6;0,196;;;R
ES0031607230862002QQ0F;11/07/2020;7;0,246;;;R
ES0031607230862002QQ0F;11/07/2020;8;0,365;;;R
ES0031607230862002QQ0F;11/07/2020;9;0,315;;;R
ES0031607230862002QQ0F;11/07/2020;10;0,258;;;R
ES0031607230862002QQ0F;11/07/2020;11;0,212;;;R
ES0031607230862002QQ0F;11/07/2020;12;0,19;;;R
ES0031607230862002QQ0F;11/07/2020;13;0,186;;;R
ES0031607230862002QQ0F;11/07/2020;14;0,184;;;R
ES0031607230862002QQ0F;11/07/2020;15;0,184;;;R
ES0031607230862002QQ0F;11/07/2020;16;0,186;;;R
ES0031607230862002QQ0F;11/07/2020;17;0,192;;;R
ES0031607230862002QQ0F;11/07/2020;18;0,236;;;R
ES0031607230862002QQ0F;11/07/2020;19;0,191;;;R
ES0031607230862002QQ0F;11/07/2020;20;0,193;;;R
ES0031607230862002QQ0F;11/07/2020;21;0,241;;;R
ES0031607230862002QQ0F;11/07/2020;22;0,189;;;R
ES0031607230862002QQ0F;11/07/2020;23;0,191;;;R
ES0031607230862002QQ0F;11/07/2020;24;0,281;;;R
ES0031607230862002QQ0F;12/07/2020;1;0,375;;;R
ES0031607230862002QQ0F;12/07/2020;2;0,256;;;R
ES0031607230862002QQ0F;12/07/2020;3;0,208;;;R
ES0031607230862002QQ0F;12/07/2020;4;0,197;;;R
ES0031607230862002QQ0F;12/07/2020;5;0,195;;;R
ES0031607230862002QQ0F;12/07/2020;6;0,197;;;R
ES0031607230862002QQ0F;12/07/2020;7;0,219;;;R
ES0031607230862002QQ0F;12/07/2020;8;0,203;;;R
ES0031607230862002QQ0F;12/07/2020;9;0,438;;;R
ES0031607230862002QQ0F;12/07/2020;10;0,318;;;R
ES0031607230862002QQ0F;12/07/2020;11;0,233;;;R
ES0031607230862002QQ0F;12/07/2020;12;0,197;;;R
ES0031607230862002QQ0F;12/07/2020;13;0,254;;;R
ES0031607230862002QQ0F;12/07/2020;14;0,486;;;R
ES0031607230862002QQ0F;12/07/2020;15;0,984;;;R
ES0031607230862002QQ0F;12/07/2020;16;0,881;;;R
ES0031607230862002QQ0F;12/07/2020;17;0,347;;;R
ES0031607230862002QQ0F;12/07/2020;18;0,341;;;R
ES0031607230862002QQ0F;12/07/2020;19;0,285;;;R
ES0031607230862002QQ0F;12/07/2020;20;0,203;;;R
ES0031607230862002QQ0F;12/07/2020;21;0,204;;;R
ES0031607230862002QQ0F;12/07/2020;22;0,199;;;R
ES0031607230862002QQ0F;12/07/2020;23;0,204;;;R
ES0031607230862002QQ0F;12/07/2020;24;0,267;;;R
ES0031607230862002QQ0F;13/07/2020;1;0,258;;;R
ES0031607230862002QQ0F;13/07/2020;2;0,209;;;R
ES0031607230862002QQ0F;13/07/2020;3;0,216;;;R
ES0031607230862002QQ0F;13/07/2020;4;0,205;;;R
ES0031607230862002QQ0F;13/07/2020;5;0,204;;;R
ES0031607230862002QQ0F;13/07/2020;6;0,222;;;R
ES0031607230862002QQ0F;13/07/2020;7;0,327;;;R
ES0031607230862002QQ0F;13/07/2020;8;0,358;;;R
ES0031607230862002QQ0F;13/07/2020;9;0,197;;;R
ES0031607230862002QQ0F;13/07/2020;10;0,195;;;R
ES0031607230862002QQ0F;13/07/2020;11;0,194;;;R
ES0031607230862002QQ0F;13/07/2020;12;0,2;;;R
ES0031607230862002QQ0F;13/07/2020;13;0,198;;;R
ES0031607230862002QQ0F;13/07/2020;14;0,192;;;R
ES0031607230862002QQ0F;13/07/2020;15;0,194;;;R
ES0031607230862002QQ0F;13/07/2020;16;0,201;;;R
ES0031607230862002QQ0F;13/07/2020;17;0,197;;;R
ES0031607230862002QQ0F;13/07/2020;18;0,213;;;R
ES0031607230862002QQ0F;13/07/2020;19;0,543;;;R
ES0031607230862002QQ0F;13/07/2020;20;0,307;;;R
ES0031607230862002QQ0F;13/07/2020;21;0,257;;;R
ES0031607230862002QQ0F;13/07/2020;22;0,275;;;R
ES0031607230862002QQ0F;13/07/2020;23;0,291;;;R
ES0031607230862002QQ0F;13/07/2020;24;0,261;;;R
ES0031607230862002QQ0F;14/07/2020;1;0,209;;;R
ES0031607230862002QQ0F;14/07/2020;2;0,212;;;R
ES0031607230862002QQ0F;14/07/2020;3;0,205;;;R
ES0031607230862002QQ0F;14/07/2020;4;0,205;;;R
ES0031607230862002QQ0F;14/07/2020;5;0,202;;;R
ES0031607230862002QQ0F;14/07/2020;6;0,209;;;R
ES0031607230862002QQ0F;14/07/2020;7;0,205;;;R
ES0031607230862002QQ0F;14/07/2020;8;0,415;;;R
ES0031607230862002QQ0F;14/07/2020;9;0,223;;;R
ES0031607230862002QQ0F;14/07/2020;10;0,198;;;R
ES0031607230862002QQ0F;14/07/2020;11;0,193;;;R
ES0031607230862002QQ0F;14/07/2020;12;0,195;;;R
ES0031607230862002QQ0F;14/07/2020;13;0,206;;;R
ES0031607230862002QQ0F;14/07/2020;14;0,25;;;R
ES0031607230862002QQ0F;14/07/2020;15;0,205;;;R
ES0031607230862002QQ0F;14/07/2020;16;0,203;;;R
ES0031607230862002QQ0F;14/07/2020;17;0,194;;;R
ES0031607230862002QQ0F;14/07/2020;18;0,252;;;R
ES0031607230862002QQ0F;14/07/2020;19;0,218;;;R
ES0031607230862002QQ0F;14/07/2020;20;0,203;;;R
ES0031607230862002QQ0F;14/07/2020;21;0,196;;;R
ES0031607230862002QQ0F;14/07/2020;22;0,247;;;R
ES0031607230862002QQ0F;14/07/2020;23;0,294;;;R
ES0031607230862002QQ0F;14/07/2020;24;0,274;;;R
ES0031607230862002QQ0F;15/07/2020;1;0,208;;;R
ES0031607230862002QQ0F;15/07/2020;2;0,214;;;R
ES0031607230862002QQ0F;15/07/2020;3;0,204;;;R
ES0031607230862002QQ0F;15/07/2020;4;0,205;;;R
